[Main 2012-05-24 17:01:34]  JPS program start.
[Get_Current_Directory 2012-05-24 17:02:05]  Current Directory : /c:/CELL
[Remote_Change_Directory 2012-05-24 17:02:05]  Directory change success. Current directory : /c:/CELL/LINK/CATST/31501/TA1A0/TA1A0140/TA1A0140AK02/
[FTP_Get_FileList 2012-05-24 17:02:05]  TA1A0140AK02.csv does not exist.
[Remote_Change_Directory 2012-05-24 17:02:05]  strPathFromRoot : LINK\CATST\31501\TA1A0\TA1A0140\TA1A0140AK02\
[Get_Current_Directory 2012-05-24 17:02:05]  Current Directory : /c:/CELL
[Remote_Change_Directory 2012-05-24 17:02:05]  Directory change success. Current directory : /c:/CELL/LINK/CATST/31501/TA1A0/TA1A0140/TA1A0140AK02/
[Get_File_From_Host 2012-05-24 17:02:05]  TA1A0140AK02.csv download fail.
[Disconnect_FTP_Client 2012-05-24 17:02:05]  FTP Disconnect
[Open_Session 2012-05-24 17:02:05]  FTP Port Open
[Connect_FTP_Client 2012-05-24 17:02:05]  FTP Connect Succeed
[Remote_Change_Directory 2012-05-24 17:02:05]  strPathFromRoot : \
[Get_Current_Directory 2012-05-24 17:02:05]  Current Directory : /c:/CELL
[Remote_Change_Directory 2012-05-24 17:02:05]  Directory change success. Current directory : /c:/CELL/
[Remote_Change_Directory 2012-05-24 17:02:05]  strPathFromRoot : EQ_Config\JPS\Readonly\Pattern\
[Get_Current_Directory 2012-05-24 17:02:05]  Current Directory : /c:/CELL
[Remote_Change_Directory 2012-05-24 17:02:05]  Directory change success. Current directory : /c:/CELL/EQ_Config/JPS/Readonly/Pattern/
[Remote_Change_Directory 2012-05-24 17:02:05]  strPathFromRoot : EQ_Config\JPS\Readonly\Pattern\
[Get_Current_Directory 2012-05-24 17:02:05]  Current Directory : /c:/CELL
[Remote_Change_Directory 2012-05-24 17:02:05]  Directory change success. Current directory : /c:/CELL/EQ_Config/JPS/Readonly/Pattern/
[Get_File_From_Host 2012-05-24 17:02:05]  P315024600.csv download success.
[Disconnect_FTP_Client 2012-05-24 17:02:05]  FTP Disconnect
[Open_Session 2012-05-24 17:02:05]  FTP Port Open
[Connect_FTP_Client 2012-05-24 17:02:05]  FTP Connect Succeed
[Remote_Change_Directory 2012-05-24 17:02:05]  strPathFromRoot : \
[Get_Current_Directory 2012-05-24 17:02:05]  Current Directory : /c:/CELL
[Remote_Change_Directory 2012-05-24 17:02:05]  Directory change success. Current directory : /c:/CELL/
[Remote_Change_Directory 2012-05-24 17:02:05]  strPathFromRoot : Link\CATST\31501\TA1A0\TA1A0140\TA1A0140AK02\
[Get_Current_Directory 2012-05-24 17:02:05]  Current Directory : /c:/CELL
[Remote_Change_Directory 2012-05-24 17:02:05]  Directory change success. Current directory : /c:/CELL/Link/CATST/31501/TA1A0/TA1A0140/TA1A0140AK02/
[FTP_Get_FileList 2012-05-24 17:02:05]  TA1A0140AK02.csv does not exist.
[Remote_Change_Directory 2012-05-24 17:02:05]  strPathFromRoot : Link\CATST\31501\TA1A0\TA1A0140\TA1A0140AK02\
[Get_Current_Directory 2012-05-24 17:02:05]  Current Directory : /c:/CELL
[Remote_Change_Directory 2012-05-24 17:02:05]  Directory change success. Current directory : /c:/CELL/Link/CATST/31501/TA1A0/TA1A0140/TA1A0140AK02/
[Get_File_From_Host 2012-05-24 17:02:05]  TA1A0140AK02.csv download fail.
[Disconnect_FTP_Client 2012-05-24 17:02:05]  FTP Disconnect
[Open_Session 2012-05-24 17:02:05]  FTP Port Open
[Connect_FTP_Client 2012-05-24 17:02:05]  FTP Connect Succeed
[Remote_Change_Directory 2012-05-24 17:02:05]  strPathFromRoot : \
[Get_Current_Directory 2012-05-24 17:02:05]  Current Directory : /c:/CELL
[Remote_Change_Directory 2012-05-24 17:02:05]  Directory change success. Current directory : /c:/CELL/
[Remote_Change_Directory 2012-05-24 17:02:05]  strPathFromRoot : CATST\CA31501AAA00\TA1A0\TA1A0140\TA1A0140AK02\BACKUP\
[Get_Current_Directory 2012-05-24 17:02:05]  Current Directory : /c:/CELL
[Remote_Change_Directory 2012-05-24 17:02:05]  Directory change success. Current directory : /c:/CELL/CATST/CA31501AAA00/TA1A0/TA1A0140/TA1A0140AK02/BACKUP/
[tmrCommand_Timer 2012-05-24 17:02:08]  Command Queue Message : @RABCTA1A0140AK02EEE198CAB204  CA31502AAA00Prod460001                                                                                                                                                                        13156  TA1A0140AK02                                                B31501221801                                 CA31501AAA05RESD      0740072000056Y  MKTA220067AV05    11223344112345672637                       194TA220067AV05PCA31501AAA05  4650P3150-07T001                            MODULE    FA1CF985CDTA220067N00TA220067AV                                                                B31501221801      TA220067AV05TA220067AV05,
[tmrCommand_Timer 2012-05-24 17:04:29]  Command Queue Message : @RABCTA1A0140AK02EEE198CAB204  CA31502AAA00Prod460001                                                                                                                                                                        13156  TA1A0140AK02                                                B31501221801                                 CA31501AAA05RESD      0740072000056Y  MKTA220067AV05    11223344112345672637                       194TA220067AV05PCA31501AAA05  4650P3150-07T001                            MODULE    FA1CF985CDTA220067N00TA220067AV                                                                B31501221801      TA220067AV05TA220067AV05,
