PFCD,ProcessNO,ChGrade,NoChGrade1,NoChGrade2,NoChGrade3,NoChGrade4,NoChGrade5,NoChGrade6,NoChGrade7,NoChGrade8,NoChGrade9,NoChGrade10
TA250670AA16,,,,,,,,,,,,
TA250670AH16,,,,,,,,,,,,
TA250670AQ16,,,,,,,,,,,,
TA250670AT16,,,,,,,,,,,,
TA250670BS16,,,,,,,,,,,,
TA250670BT16,,,,,,,,,,,,
TA250670BZ16,,,,,,,,,,,,
TA250670CA16,,,,,,,,,,,,
TA250670CC16,,,,,,,,,,,,
TA250670CE16,,,,,,,,,,,,
TA250674AN16,,,,,,,,,,,,
TA250680BC16,,,,,,,,,,,,
TA250680BW16,,,,,,,,,,,,
TA250682BC16,,,,,,,,,,,,
TA250682CC16,,,,,,,,,,,,
TA250692AF16,,,,,,,,,,,,
TA250692AK16,,,,,,,,,,,,
TA250692AN16,,,,,,,,,,,,
TA250692AR16,,,,,,,,,,,,
TA250692AT16,,,,,,,,,,,,
TA250692AW16,,,,,,,,,,,,
TA250692AZ16,,,,,,,,,,,,
TA250692BC16,,,,,,,,,,,,
TA250692BD16,,,,,,,,,,,,
TA250692BP16,,,,,,,,,,,,
TA250692BX16,,,,,,,,,,,,
TA250692CH16,,,,,,,,,,,,
TA250693AC16,,,,,,,,,,,,
TA250693AS16,,,,,,,,,,,,
TA250698BX16,,,,,,,,,,,,
TA250698CF16,,,,,,,,,,,,
TA250699BG16,,,,,,,,,,,,
TA250699BP16,,,,,,,,,,,,
TA250699BS16,,,,,,,,,,,,
TA250699CH16,,,,,,,,,,,,
TA250700AU16,,,,,,,,,,,,
TA250701AG16,,,,,,,,,,,,
TA250701AM16,,,,,,,,,,,,
TA250701AQ16,,,,,,,,,,,,
TA250701BF16,,,,,,,,,,,,
TA250701BZ16,,,,,,,,,,,,
TA250701CD16,,,,,,,,,,,,
TA250701CE16,,,,,,,,,,,,
TA250715AZ16,,,,,,,,,,,,
TA250715BT16,,,,,,,,,,,,
TA250760AT16,,,,,,,,,,,,
TA250761BT16,,,,,,,,,,,,
TA260060AG16,,,,,,,,,,,,
TA260060AJ16,,,,,,,,,,,,
TA260060AY16,,,,,,,,,,,,
TA260060BE16,,,,,,,,,,,,
TA260070AB16,,,,,,,,,,,,
TA260070AT16,,,,,,,,,,,,
TA260070BF16,,,,,,,,,,,,
TA260070BL16,,,,,,,,,,,,
TA260070BR16,,,,,,,,,,,,
TA260070BU16,,,,,,,,,,,,
TA260032AG01,,,,,,,,,,,,
TA260032AG02,,,,,,,,,,,,
TA260032AG03,,,,,,,,,,,,
TA260032AG04,,,,,,,,,,,,
TA260032AG05,,,,,,,,,,,,
TA260032AG06,,,,,,,,,,,,
TA260032AG07,,,,,,,,,,,,
TA260032AG08,,,,,,,,,,,,
TA260032AG09,,,,,,,,,,,,
TA260032AG10,,,,,,,,,,,,
TA260032AG11,,,,,,,,,,,,
TA260032AG12,,,,,,,,,,,,
TA260032AG13,,,,,,,,,,,,
TA260032AG14,,,,,,,,,,,,
TA260032AG15,,,,,,,,,,,,
TA260032AG16,,,,,,,,,,,,
TA260032AG17,,,,,,,,,,,,
TA260032AG18,,,,,,,,,,,,
TA260055BL01,,,,,,,,,,,,
TA260055BL02,,,,,,,,,,,,
TA260055BL03,,,,,,,,,,,,
TA260055BL04,,,,,,,,,,,,
TA260055BL05,,,,,,,,,,,,
TA260055BL06,,,,,,,,,,,,
TA260055BL07,,,,,,,,,,,,
TA260055BL08,,,,,,,,,,,,
TA260055BL09,,,,,,,,,,,,
TA260055BL10,,,,,,,,,,,,
TA260055BL11,,,,,,,,,,,,
TA260055BL12,,,,,,,,,,,,
TA260055BL13,,,,,,,,,,,,
TA260055BL14,,,,,,,,,,,,
TA260055BL15,,,,,,,,,,,,
TA260055BL16,,,,,,,,,,,,
TA260055BL17,,,,,,,,,,,,
